symbol,date,close,currency
AGRB,2023-08-10,17.86,BRL
AGRB,2023-09-17,17.94,BRL
AGRB,2023-10-25,18.06,BRL
AGRB,2023-12-02,18.07,BRL
AGRB,2024-01-09,18.13,BRL
AGRB,2024-02-17,18.25,BRL
AGRB,2024-03-26,18.27,BRL
AGRB,2024-05-03,18.36,BRL
AGRB,2024-06-10,18.39,BRL
AGRB,2024-07-18,18.46,BRL
AGRB,2024-08-25,18.57,BRL
AGRB,2024-10-02,18.64,BRL
AGRB,2024-11-09,18.77,BRL
AGRB,2024-12-17,18.8,BRL
AGRB,2025-01-24,18.88,BRL
AGRB,2025-03-04,18.9,BRL
AGRB,2025-04-11,18.91,BRL
AGRB,2025-05-19,19.02,BRL
AGRB,2025-06-26,19.1,BRL
AGRB,2025-08-03,19.1,BRL
AGRB,2025-09-10,19.21,BRL
AGRB,2025-10-18,19.31,BRL
AGRB,2025-11-25,19.42,BRL
AGRB,2026-01-02,19.54,BRL
AGRB,2026-02-09,19.64,BRL
AGRB,2026-03-20,19.74,BRL
AGRB,2026-04-27,19.77,BRL
AGRB,2026-06-04,19.84,BRL
AGRB,2026-07-12,19.9,BRL
AGRB,2026-08-19,20,BRL
CPWR,2023-02-02,55.56,USD
CPWR,2023-03-13,55.67,USD
CPWR,2023-04-21,55.67,USD
CPWR,2023-05-30,55.91,USD
CPWR,2023-07-09,56.15,USD
CPWR,2023-08-17,56.28,USD
CPWR,2023-09-25,56.49,USD
CPWR,2023-11-03,56.69,USD
CPWR,2023-12-12,56.79,USD
CPWR,2024-01-21,57.01,USD
CPWR,2024-02-29,57.02,USD
CPWR,2024-04-08,57,USD
CPWR,2024-05-17,57.25,USD
CPWR,2024-06-26,57.26,USD
CPWR,2024-08-04,57.35,USD
CPWR,2024-09-12,57.36,USD
CPWR,2024-10-21,57.57,USD
CPWR,2024-11-29,57.66,USD
CPWR,2025-01-08,57.81,USD
CPWR,2025-02-16,57.98,USD
CPWR,2025-03-27,58.22,USD
CPWR,2025-05-05,58.36,USD
CPWR,2025-06-14,58.52,USD
CPWR,2025-07-23,58.52,USD
CPWR,2025-08-31,58.72,USD
CPWR,2025-10-09,58.87,USD
CPWR,2025-11-17,59.06,USD
CPWR,2025-12-27,59.26,USD
